_TITLE1 TOTAL INTER INTRA RESTR VDW
ZINC00695571 -27.626 -22.216 -2.275 0.000 -29.834
ZINC00695572 -23.710 -20.944 0.578 0.000 -26.332
ZINC00695573 -26.825 -24.338 -0.520 0.000 -31.474
ZINC00695574 -25.780 -21.228 -1.167 0.000 -27.163
ZINC00695608 -29.174 -29.170 3.357 0.000 -32.214
ZINC00695609 -24.737 -20.150 -1.188 0.000 -30.895
ZINC00695762 -26.941 -23.146 -0.415 0.000 -27.947
ZINC00695763 -26.877 -26.231 2.648 0.000 -30.185
ZINC00695768 -27.262 -23.253 -0.638 0.000 -30.198
ZINC00698546 -27.166 -19.113 -4.748 0.000 -31.003
ZINC00698547 -24.048 -19.080 -1.786 0.000 -24.719
ZINC00702624 -28.542 -25.905 0.712 0.000 -33.488
ZINC00703647 -24.247 -20.891 -0.070 0.000 -31.893
ZINC00704218 -27.980 -22.270 -2.404 0.000 -32.030
ZINC00706294 -23.910 -21.531 -0.412 0.000 -30.675
ZINC00718343 -26.469 -26.633 3.431 0.000 -27.979
ZINC00718344 -31.990 -31.205 1.163 0.000 -31.017
ZINC00718867 -28.145 -24.474 -1.707 0.000 -31.133
ZINC00719219 -28.040 -21.110 -3.530 0.000 -29.198
ZINC00722294 -24.566 -17.333 -3.964 0.000 -25.641
ZINC00722295 -28.262 -21.726 -3.131 0.000 -30.265
ZINC00725610 -19.307 -16.475 0.334 0.000 -23.773
ZINC00725612 -18.998 -20.763 4.954 0.000 -27.463
ZINC00725787 -28.373 -23.144 -1.868 0.000 -27.248
ZINC00725788 -26.274 -21.202 -1.747 0.000 -27.947
ZINC00731328 -27.224 -25.154 1.209 0.000 -32.553
ZINC00731330 -25.227 -20.351 -1.459 0.000 -25.814
ZINC00735578 -25.583 -19.741 -3.855 0.000 -27.854
ZINC00735580 -25.047 -24.349 2.604 0.000 -31.099
ZINC00736654 -25.668 -23.867 1.538 0.000 -31.727
ZINC00736655 -27.735 -23.985 -0.597 0.000 -30.683
ZINC00736661 -23.631 -19.082 -1.214 0.000 -27.422
ZINC00736663 -23.078 -22.117 2.251 0.000 -31.668
ZINC00736835 -28.204 -24.676 -0.165 0.000 -31.382
ZINC00738966 -35.774 -23.931 -8.460 0.000 -29.921
ZINC00743744 -34.094 -18.047 -12.796 0.000 -29.331
ZINC00743961 -20.587 -18.030 0.730 0.000 -27.458
ZINC00746858 -24.833 -18.413 -3.136 0.000 -28.410
ZINC00747802 -29.135 -27.490 1.578 0.000 -32.319
ZINC00747803 -25.996 -23.726 0.940 0.000 -29.163
ZINC00747813 -24.759 -17.071 -4.407 0.000 -26.739
ZINC00752171 -25.894 -25.880 1.816 0.000 -32.738
ZINC00756296 -21.245 -16.945 -1.018 0.000 -26.034
ZINC00760093 -21.369 -20.238 2.231 0.000 -29.217
ZINC00762246 -25.135 -21.123 -0.604 0.000 -29.736
ZINC00762422 -25.299 -23.188 1.092 0.000 -22.941
ZINC00764069 -28.025 -22.919 -1.903 0.000 -27.314
ZINC00764216 -26.642 -25.040 1.789 0.000 -33.256
ZINC00764228 -28.479 -19.469 -5.635 0.000 -26.089
ZINC00764465 -26.156 -26.527 2.279 0.000 -30.566
ZINC00764466 -23.233 -24.405 4.436 0.000 -28.963
ZINC00764511 -25.910 -23.740 0.851 0.000 -32.195
ZINC00764536 -23.917 -26.401 5.741 0.000 -28.859
ZINC00764858 -26.429 -23.198 0.055 0.000 -26.232
ZINC00774052 -33.222 -26.024 -3.928 0.000 -29.499
ZINC00774079 -24.670 -15.945 -5.491 0.000 -25.616
ZINC00774090 -29.682 -20.318 -6.067 0.000 -25.921
ZINC00776376 -27.090 -20.779 -3.005 0.000 -28.485
ZINC00776388 -24.462 -18.781 -2.424 0.000 -30.438
ZINC00776392 -28.152 -20.354 -4.453 0.000 -28.201
ZINC00776402 -24.504 -17.201 -3.934 0.000 -29.767
ZINC00776406 -23.906 -17.577 -3.022 0.000 -31.871
ZINC00776409 -21.773 -17.067 -1.348 0.000 -27.032
ZINC00776421 -24.291 -17.069 -3.881 0.000 -31.523
ZINC00776425 -25.391 -14.771 -7.476 0.000 -26.822
ZINC00776429 -22.893 -15.998 -3.515 0.000 -25.917
ZINC00776443 -24.273 -16.642 -4.274 0.006 -25.591
ZINC00776446 -28.224 -21.221 -3.671 0.000 -29.436
ZINC00776475 -24.971 -19.961 -1.638 0.000 -28.333
ZINC00776479 -28.498 -16.358 -8.745 0.000 -27.469
ZINC00776481 -30.675 -23.654 -3.848 0.000 -30.711
ZINC00786275 -22.375 -16.027 -3.015 0.000 -28.566
ZINC00786743 -18.493 -17.543 2.283 0.000 -27.359
